model,rig,regime,mic_group,n_frames,pit_mae
hf0_l3_r2_s0,DREGON,all,all,44176,13.575329
hf0_l3_r2_s0,DREGON,all,ch0,5522,22.394049
hf0_l3_r2_s0,DREGON,all,ch1-7,38654,12.315511
hf0_l3_r2_s0,DREGON,below-30,all,1232,23.018822
hf0_l3_r2_s0,DREGON,below-30,ch0,154,16.780096
hf0_l3_r2_s0,DREGON,below-30,ch1-7,1078,23.910068
hf0_l3_r2_s0,DREGON,cruise:all,all,32128,12.779565
hf0_l3_r2_s0,DREGON,cruise:all,ch0,4016,25.403731
hf0_l3_r2_s0,DREGON,cruise:all,ch1-7,28112,10.976113
hf0_l3_r2_s0,DREGON,cruise:in-grid,all,32128,12.779565
hf0_l3_r2_s0,DREGON,cruise:in-grid,ch0,4016,25.403731
hf0_l3_r2_s0,DREGON,cruise:in-grid,ch1-7,28112,10.976113
hf0_l3_r2_s0,DREGON,ground:all,all,6024,5.997248
hf0_l3_r2_s0,DREGON,ground:all,ch0,753,1.536054
hf0_l3_r2_s0,DREGON,ground:all,ch1-7,5271,6.634561
hf0_l3_r2_s0,DREGON,ground:below-30,all,192,21.156103
hf0_l3_r2_s0,DREGON,ground:below-30,ch0,24,8.948554
hf0_l3_r2_s0,DREGON,ground:below-30,ch1-7,168,22.900038
hf0_l3_r2_s0,DREGON,ground:zero-frames,all,5832,5.498191
hf0_l3_r2_s0,DREGON,ground:zero-frames,ch0,729,1.292022
hf0_l3_r2_s0,DREGON,ground:zero-frames,ch1-7,5103,6.099072
hf0_l3_r2_s0,DREGON,in-grid,all,36304,14.801306
hf0_l3_r2_s0,DREGON,in-grid,ch0,4538,26.462463
hf0_l3_r2_s0,DREGON,in-grid,ch1-7,31766,13.135427
hf0_l3_r2_s0,DREGON,ramp:all,all,6024,25.397481
hf0_l3_r2_s0,DREGON,ramp:all,ch0,753,27.200406
hf0_l3_r2_s0,DREGON,ramp:all,ch1-7,5271,25.139920
hf0_l3_r2_s0,DREGON,ramp:below-30,all,1040,23.362708
