model,rig,regime,mic_group,n_frames,pit_mae
hppnet_l3_r2_s0,DREGON,all,all,44176,5.423333
hppnet_l3_r2_s0,DREGON,all,ch0,5522,5.736013
hppnet_l3_r2_s0,DREGON,all,ch1-7,38654,5.378665
hppnet_l3_r2_s0,DREGON,below-30,all,1232,46.807029
hppnet_l3_r2_s0,DREGON,below-30,ch0,154,48.760422
hppnet_l3_r2_s0,DREGON,below-30,ch1-7,1078,46.527973
hppnet_l3_r2_s0,DREGON,cruise:all,all,32128,3.103307
hppnet_l3_r2_s0,DREGON,cruise:all,ch0,4016,3.331758
hppnet_l3_r2_s0,DREGON,cruise:all,ch1-7,28112,3.070671
hppnet_l3_r2_s0,DREGON,cruise:in-grid,all,32128,3.103307
hppnet_l3_r2_s0,DREGON,cruise:in-grid,ch0,4016,3.331758
hppnet_l3_r2_s0,DREGON,cruise:in-grid,ch1-7,28112,3.070671
hppnet_l3_r2_s0,DREGON,ground:all,all,6024,1.093067
hppnet_l3_r2_s0,DREGON,ground:all,ch0,753,0.140064
hppnet_l3_r2_s0,DREGON,ground:all,ch1-7,5271,1.229210
hppnet_l3_r2_s0,DREGON,ground:below-30,all,192,0.905948
hppnet_l3_r2_s0,DREGON,ground:below-30,ch0,24,0.432746
hppnet_l3_r2_s0,DREGON,ground:below-30,ch1-7,168,0.973549
hppnet_l3_r2_s0,DREGON,ground:zero-frames,all,5832,1.099227
hppnet_l3_r2_s0,DREGON,ground:zero-frames,ch0,729,0.130428
hppnet_l3_r2_s0,DREGON,ground:zero-frames,ch1-7,5103,1.237627
hppnet_l3_r2_s0,DREGON,in-grid,all,36304,3.886670
hppnet_l3_r2_s0,DREGON,in-grid,ch0,4538,4.206798
hppnet_l3_r2_s0,DREGON,in-grid,ch1-7,31766,3.840937
hppnet_l3_r2_s0,DREGON,ramp:all,all,6024,22.127074
hppnet_l3_r2_s0,DREGON,ramp:all,ch0,753,24.154656
hppnet_l3_r2_s0,DREGON,ramp:all,ch1-7,5271,21.837419
hppnet_l3_r2_s0,DREGON,ramp:below-30,all,1040,55.281075
hppnet_l3_r2_s0,DREGON,ramp:below-30,ch0,130,57.682455
hppnet_l3_r2_s0,DREGON,ramp:below-30,ch1-7,910,54.938020
hppnet_l3_r2_s0,DREGON,ramp:in-grid,all,4176,9.913462
hppnet_l3_r2_s0,DREGON,ramp:in-grid,ch0,522,10.938906
hppnet_l3_r2_s0,DREGON,ramp:in-grid,ch1-7,3654,9.766970
hppnet_l3_r2_s0,DREGON,ramp:zero-frames,all,808,42.577424
hppnet_l3_r2_s0,DREGON,ramp:zero-frames,ch0,101,49.303249
hppnet_l3_r2_s0,DREGON,ramp:zero-frames,ch1-7,707,41.616592
hppnet_l3_r2_s0,DREGON,zero-frames,all,6640,6.146574
hppnet_l3_r2_s0,DREGON,zero-frames,ch0,830,6.114109
hppnet_l3_r2_s0,DREGON,zero-frames,ch1-7,5810,6.151212
hppnet_l3_r2_s0,FLY124,all,all,30120,2.662248
hppnet_l3_r2_s0,FLY124,all,ch0,3765,3.531795
hppnet_l3_r2_s0,FLY124,all,ch1-7,26355,2.538027
hppnet_l3_r2_s0,FLY124,below-30,all,1496,13.038188
hppnet_l3_r2_s0,FLY124,below-30,ch0,187,16.011070
hppnet_l3_r2_s0,FLY124,below-30,ch1-7,1309,12.613490
hppnet_l3_r2_s0,FLY124,cruise:all,all,20080,0.891999
hppnet_l3_r2_s0,FLY124,cruise:all,ch0,2510,0.903071
hppnet_l3_r2_s0,FLY124,cruise:all,ch1-7,17570,0.890417
hppnet_l3_r2_s0,FLY124,cruise:in-grid,all,20080,0.891999
hppnet_l3_r2_s0,FLY124,cruise:in-grid,ch0,2510,0.903071
hppnet_l3_r2_s0,FLY124,cruise:in-grid,ch1-7,17570,0.890417
hppnet_l3_r2_s0,FLY124,ground:all,all,2008,0.054805
hppnet_l3_r2_s0,FLY124,ground:all,ch0,251,0.057914
hppnet_l3_r2_s0,FLY124,ground:all,ch1-7,1757,0.054361
hppnet_l3_r2_s0,FLY124,ground:zero-frames,all,2008,0.054805
hppnet_l3_r2_s0,FLY124,ground:zero-frames,ch0,251,0.057914
hppnet_l3_r2_s0,FLY124,ground:zero-frames,ch1-7,1757,0.054361
hppnet_l3_r2_s0,FLY124,in-grid,all,25968,2.066374
hppnet_l3_r2_s0,FLY124,in-grid,ch0,3246,2.869146
hppnet_l3_r2_s0,FLY124,in-grid,ch1-7,22722,1.951693
hppnet_l3_r2_s0,FLY124,ramp:all,all,8032,7.739732
hppnet_l3_r2_s0,FLY124,ramp:all,ch0,1004,10.972076
hppnet_l3_r2_s0,FLY124,ramp:all,ch1-7,7028,7.277968
hppnet_l3_r2_s0,FLY124,ramp:below-30,all,1496,13.038188
hppnet_l3_r2_s0,FLY124,ramp:below-30,ch0,187,16.011070
hppnet_l3_r2_s0,FLY124,ramp:below-30,ch1-7,1309,12.613490
hppnet_l3_r2_s0,FLY124,ramp:in-grid,all,5888,6.071378
hppnet_l3_r2_s0,FLY124,ramp:in-grid,ch0,736,9.574101
hppnet_l3_r2_s0,FLY124,ramp:in-grid,ch1-7,5152,5.570989
hppnet_l3_r2_s0,FLY124,ramp:zero-frames,all,648,10.666853
hppnet_l3_r2_s0,FLY124,ramp:zero-frames,ch0,81,12.041427
hppnet_l3_r2_s0,FLY124,ramp:zero-frames,ch1-7,567,10.470485
hppnet_l3_r2_s0,FLY124,zero-frames,all,2656,2.643889
hppnet_l3_r2_s0,FLY124,zero-frames,ch0,332,2.981602
hppnet_l3_r2_s0,FLY124,zero-frames,ch1-7,2324,2.595644
hppnet_l3_r2_s0,all,all,all,74296,4.303974
hppnet_l3_r2_s0,all,all,ch0,9287,4.842411
hppnet_l3_r2_s0,all,all,ch1-7,65009,4.227055
hppnet_l3_r2_s0,all,below-30,all,2728,28.288632
hppnet_l3_r2_s0,all,below-30,ch0,341,30.801100
hppnet_l3_r2_s0,all,below-30,ch1-7,2387,27.929708
hppnet_l3_r2_s0,all,cruise:all,all,52208,2.252804
hppnet_l3_r2_s0,all,cruise:all,ch0,6526,2.397648
hppnet_l3_r2_s0,all,cruise:all,ch1-7,45682,2.232112
hppnet_l3_r2_s0,all,cruise:in-grid,all,52208,2.252804
hppnet_l3_r2_s0,all,cruise:in-grid,ch0,6526,2.397648
hppnet_l3_r2_s0,all,cruise:in-grid,ch1-7,45682,2.232112
hppnet_l3_r2_s0,all,ground:all,all,8032,0.833502
hppnet_l3_r2_s0,all,ground:all,ch0,1004,0.119526
