model,rig,regime,mic_group,n_frames,pit_mae
hppnet_l2_r2_s0,DREGON,all,all,44176,2.663857
hppnet_l2_r2_s0,DREGON,all,ch0,5522,2.906567
hppnet_l2_r2_s0,DREGON,all,ch1-7,38654,2.629184
hppnet_l2_r2_s0,DREGON,below-30,all,1232,17.069454
hppnet_l2_r2_s0,DREGON,below-30,ch0,154,20.253851
hppnet_l2_r2_s0,DREGON,below-30,ch1-7,1078,16.614540
hppnet_l2_r2_s0,DREGON,cruise:all,all,32128,2.071256
hppnet_l2_r2_s0,DREGON,cruise:all,ch0,4016,2.139413
hppnet_l2_r2_s0,DREGON,cruise:all,ch1-7,28112,2.061520
hppnet_l2_r2_s0,DREGON,cruise:in-grid,all,32128,2.071256
hppnet_l2_r2_s0,DREGON,cruise:in-grid,ch0,4016,2.139413
hppnet_l2_r2_s0,DREGON,cruise:in-grid,ch1-7,28112,2.061520
hppnet_l2_r2_s0,DREGON,ground:all,all,6024,0.510840
hppnet_l2_r2_s0,DREGON,ground:all,ch0,753,0.100320
hppnet_l2_r2_s0,DREGON,ground:all,ch1-7,5271,0.569486
hppnet_l2_r2_s0,DREGON,ground:below-30,all,192,4.707727
hppnet_l2_r2_s0,DREGON,ground:below-30,ch0,24,1.188668
hppnet_l2_r2_s0,DREGON,ground:below-30,ch1-7,168,5.210449
hppnet_l2_r2_s0,DREGON,ground:zero-frames,all,5832,0.372671
hppnet_l2_r2_s0,DREGON,ground:zero-frames,ch0,729,0.064489
hppnet_l2_r2_s0,DREGON,ground:zero-frames,ch1-7,5103,0.416697
hppnet_l2_r2_s0,DREGON,in-grid,all,36304,2.397880
hppnet_l2_r2_s0,DREGON,in-grid,ch0,4538,2.459801
hppnet_l2_r2_s0,DREGON,in-grid,ch1-7,31766,2.389034
hppnet_l2_r2_s0,DREGON,ramp:all,all,6024,7.977414
hppnet_l2_r2_s0,DREGON,ramp:all,ch0,753,9.804304
hppnet_l2_r2_s0,DREGON,ramp:all,ch1-7,5271,7.716429
hppnet_l2_r2_s0,DREGON,ramp:below-30,all,1040,19.351619
hppnet_l2_r2_s0,DREGON,ramp:below-30,ch0,130,23.773578
hppnet_l2_r2_s0,DREGON,ramp:below-30,ch1-7,910,18.719910
hppnet_l2_r2_s0,DREGON,ramp:in-grid,all,4176,4.910755
hppnet_l2_r2_s0,DREGON,ramp:in-grid,ch0,522,4.924704
hppnet_l2_r2_s0,DREGON,ramp:in-grid,ch1-7,3654,4.908762
hppnet_l2_r2_s0,DREGON,ramp:zero-frames,all,808,9.186813
hppnet_l2_r2_s0,DREGON,ramp:zero-frames,ch0,101,17.043367
hppnet_l2_r2_s0,DREGON,ramp:zero-frames,ch1-7,707,8.064448
hppnet_l2_r2_s0,DREGON,zero-frames,all,6640,1.445235
hppnet_l2_r2_s0,DREGON,zero-frames,ch0,830,2.130594
hppnet_l2_r2_s0,DREGON,zero-frames,ch1-7,5810,1.347327
hppnet_l2_r2_s0,FLY124,all,all,30120,1.681979
hppnet_l2_r2_s0,FLY124,all,ch0,3765,1.553501
hppnet_l2_r2_s0,FLY124,all,ch1-7,26355,1.700333
hppnet_l2_r2_s0,FLY124,below-30,all,1496,12.632018
hppnet_l2_r2_s0,FLY124,below-30,ch0,187,12.028445
hppnet_l2_r2_s0,FLY124,below-30,ch1-7,1309,12.718243
hppnet_l2_r2_s0,FLY124,cruise:all,all,20080,0.767612
hppnet_l2_r2_s0,FLY124,cruise:all,ch0,2510,0.749499
hppnet_l2_r2_s0,FLY124,cruise:all,ch1-7,17570,0.770200
hppnet_l2_r2_s0,FLY124,cruise:in-grid,all,20080,0.767612
hppnet_l2_r2_s0,FLY124,cruise:in-grid,ch0,2510,0.749499
hppnet_l2_r2_s0,FLY124,cruise:in-grid,ch1-7,17570,0.770200
hppnet_l2_r2_s0,FLY124,ground:all,all,2008,0.005432
hppnet_l2_r2_s0,FLY124,ground:all,ch0,251,0.004646
hppnet_l2_r2_s0,FLY124,ground:all,ch1-7,1757,0.005545
hppnet_l2_r2_s0,FLY124,ground:zero-frames,all,2008,0.005432
hppnet_l2_r2_s0,FLY124,ground:zero-frames,ch0,251,0.004646
hppnet_l2_r2_s0,FLY124,ground:zero-frames,ch1-7,1757,0.005545
hppnet_l2_r2_s0,FLY124,in-grid,all,25968,1.209648
hppnet_l2_r2_s0,FLY124,in-grid,ch0,3246,1.104223
hppnet_l2_r2_s0,FLY124,in-grid,ch1-7,22722,1.224709
hppnet_l2_r2_s0,FLY124,ramp:all,all,8032,4.387033
hppnet_l2_r2_s0,FLY124,ramp:all,ch0,1004,3.950721
hppnet_l2_r2_s0,FLY124,ramp:all,ch1-7,7028,4.449363
hppnet_l2_r2_s0,FLY124,ramp:below-30,all,1496,12.632018
hppnet_l2_r2_s0,FLY124,ramp:below-30,ch0,187,12.028445
hppnet_l2_r2_s0,FLY124,ramp:below-30,ch1-7,1309,12.718243
hppnet_l2_r2_s0,FLY124,ramp:in-grid,all,5888,2.717135
hppnet_l2_r2_s0,FLY124,ramp:in-grid,ch0,736,2.313949
hppnet_l2_r2_s0,FLY124,ramp:in-grid,ch1-7,5152,2.774733
hppnet_l2_r2_s0,FLY124,ramp:zero-frames,all,648,0.525709
hppnet_l2_r2_s0,FLY124,ramp:zero-frames,ch0,81,0.174549
hppnet_l2_r2_s0,FLY124,ramp:zero-frames,ch1-7,567,0.575874
hppnet_l2_r2_s0,FLY124,zero-frames,all,2656,0.132367
hppnet_l2_r2_s0,FLY124,zero-frames,ch0,332,0.046099
hppnet_l2_r2_s0,FLY124,zero-frames,ch1-7,2324,0.144691
hppnet_l2_r2_s0,all,all,all,74296,2.265799
hppnet_l2_r2_s0,all,all,ch0,9287,2.358027
hppnet_l2_r2_s0,all,all,ch1-7,65009,2.252623
hppnet_l2_r2_s0,all,below-30,all,2728,14.636021
hppnet_l2_r2_s0,all,below-30,ch0,341,15.743145
hppnet_l2_r2_s0,all,below-30,ch1-7,2387,14.477861
hppnet_l2_r2_s0,all,cruise:all,all,52208,1.569855
